DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,WEALTH_QUINTILE:Wealth Quintile,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,DATA_SOURCE:Data Source,COUNTRY_NOTES:Country notes,UNIT_MEASURE:Unit of measure,REF_PERIOD:Reference Period,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,OBS_STATUS:Observation Status
UNICEF:CME(1.0): Child Mortality,IND: India,CME_MRM0: Neonatal mortality rate,_T: Total,_T: Total,1970,84.94984863,UN_IGME,"The most recent national official estimate of neonatal mortality rate in India are from the India Sample Registration System with a rate of 23 deaths per 1,000 live births, respectively, in the year 2018.","D_PER_1000_B: Deaths per 1,000 live births",,78.37197739,92.13630996,A: Normal value
UNICEF:CME(1.0): Child Mortality,IND: India,CME_MRM0: Neonatal mortality rate,_T: Total,_T: Total,1971,84.21701828,UN_IGME,"The most recent national official estimate of neonatal mortality rate in India are from the India Sample Registration System with a rate of 23 deaths per 1,000 live births, respectively, in the year 2018.","D_PER_1000_B: Deaths per 1,000 live births",,78.04581428,91.11347257,A: Normal value
UNICEF:CME(1.0): Child Mortality,IND: India,CME_MRM0: Neonatal mortality rate,_T: Total,_T: Total,1972,83.48199553,UN_IGME,"The most recent national official estimate of neonatal mortality rate in India are from the India Sample Registration System with a rate of 23 deaths per 1,000 live births, respectively, in the year 2018.","D_PER_1000_B: Deaths per 1,000 live births",,77.50870614,90.03067008,A: Normal value
UNICEF:CME(1.0): Child Mortality,IND: India,CME_MRM0: Neonatal mortality rate,_T: Total,_T: Total,1973,82.56465162,UN_IGME,"The most recent national official estimate of neonatal mortality rate in India are from the India Sample Registration System with a rate of 23 deaths per 1,000 live births, respectively, in the year 2018.","D_PER_1000_B: Deaths per 1,000 live births",,76.77873011,88.91756007,A: Normal value
UNICEF:CME(1.0): Child Mortality,IND: India,CME_MRM0: Neonatal mortality rate,_T: Total,_T: Total,1974,81.52755935,UN_IGME,"The most recent national official estimate of neonatal mortality rate in India are from the India Sample Registration System with a rate of 23 deaths per 1,000 live births, respectively, in the year 2018.","D_PER_1000_B: Deaths per 1,000 live births",,75.99523806,87.59482848,A: Normal value
UNICEF:CME(1.0): Child Mortality,IND: India,CME_MRM0: Neonatal mortality rate,_T: Total,_T: Total,1975,80.33938264,UN_IGME,"The most recent national official estimate of neonatal mortality rate in India are from the India Sample Registration System with a rate of 23 deaths per 1,000 live births, respectively, in the year 2018.","D_PER_1000_B: Deaths per 1,000 live births",,74.95475782,86.07822519,A: Normal value
UNICEF:CME(1.0): Child Mortality,IND: India,CME_MRM0: Neonatal mortality rate,_T: Total,_T: Total,1976,78.94107426,UN_IGME,"The most recent national official estimate of neonatal mortality rate in India are from the India Sample Registration System with a rate of 23 deaths per 1,000 live births, respectively, in the year 2018.","D_PER_1000_B: Deaths per 1,000 live births",,73.75545795,84.5758143,A: Normal value
UNICEF:CME(1.0): Child Mortality,IND: India,CME_MRM0: Neonatal mortality rate,_T: Total,_T: Total,1977,77.39393426,UN_IGME,"The most recent national official estimate of neonatal mortality rate in India are from the India Sample Registration System with a rate of 23 deaths per 1,000 live births, respectively, in the year 2018.","D_PER_1000_B: Deaths per 1,000 live births",,72.46055446,82.75367915,A: Normal value
UNICEF:CME(1.0): Child Mortality,IND: India,CME_MRM0: Neonatal mortality rate,_T: Total,_T: Total,1978,75.73727272,UN_IGME,"The most recent national official estimate of neonatal mortality rate in India are from the India Sample Registration System with a rate of 23 deaths per 1,000 live births, respectively, in the year 2018.","D_PER_1000_B: Deaths per 1,000 live births",,71.03569728,80.83358372,A: Normal value
UNICEF:CME(1.0): Child Mortality,IND: India,CME_MRM0: Neonatal mortality rate,_T: Total,_T: Total,1979,74.05644563,UN_IGME,"The most recent national official estimate of neonatal mortality rate in India are from the India Sample Registration System with a rate of 23 deaths per 1,000 live births, respectively, in the year 2018.","D_PER_1000_B: Deaths per 1,000 live births",,69.5303888,78.89605177,A: Normal value
